restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Food Junction,Restaurant,"Fast Food, North Indian",2.9,200.0,Koregaon Park,,Pune
Food 365,Restaurant,Fast Food,3.4,250.0,Sinhgad Road,,Pune
Mint Restaurant,Restaurant,"Fast Food, North Indian",3.0,400.0,Sinhgad Road,,Pune
Hotel Sargam,Restaurant,"North Indian, Chinese",3.0,800.0,Yerawada,,Pune
MalabaRasoi,Restaurant,South Indian,3.1,500.0,Viman Nagar,,Pune
Cafe VAMOS,Restaurant,Fast Food,3.5,300.0,Kharadi,,Pune
Mashal Veg Non-Veg,Restaurant,North Indian,3.1,300.0,Sinhgad Road,,Pune
Comfort Food Cafe,Restaurant,Fast Food,3.2,400.0,Khandala,,Pune
Spicy Biryani & Rolls,Restaurant,"Rolls, Biryani",3.7,400.0,Viman Nagar,,Pune
Garden Inn,Restaurant,"North Indian, Chinese, Seafood",3.4,400.0,Sinhgad Road,,Pune
Hotel Kanchan,Restaurant,"North Indian, Mangalorean",3.0,400.0,Wagholi,,Pune
Sandwich Day,Restaurant,"Sandwich, Fast Food",3.3,250.0,Wadgaon Sheri,,Pune
Flavours on Stone,Restaurant,"Chinese, North Indian",3.3,650.0,Hinjawadi,,Pune
Hotel Jai Bhawani,Restaurant,"North Indian, Mughlai, Biryani, Chinese",3.0,500.0,Wagholi,,Pune
Fat Boy,Restaurant,"Pizza, Burger, Fast Food",2.8,400.0,Viman Nagar,,Pune
TT MM Cafe,Restaurant,Fast Food,3.2,200.0,Senapati Bapat Road,,Pune
Dhawade Vadewale,Restaurant,"Maharashtrian, Street Food",3.4,150.0,Warje,,Pune
Shiv Ratna Restaurant,Restaurant,"North Indian, Chinese",3.0,400.0,Kharadi,,Pune
Lakshmi Bhojnalay,Restaurant,North Indian,3.2,250.0,Narhe,,Pune
Kolkata Nashta House,Restaurant,"Street Food, North Indian",2.9,200.0,Pimple Saudagar,,Pune
Hotel New Sangam,Restaurant,North Indian,3.0,300.0,Wagholi,,Pune
FAT UFO,Restaurant,"Burger, Fast Food",3.3,250.0,Camp-MG Road Area,,Pune
Deva's Food Corner,Restaurant,"South Indian, Fast Food",3.3,250.0,Wagholi,,Pune
Daily Dose Cafe,Restaurant,"North Indian, Chinese, Fast Food",3.2,350.0,Hadapsar,,Pune
Indian Zing,Restaurant,"North Indian, Chinese",3.0,450.0,Baner,,Pune
Hotel Malhar,Restaurant,"North Indian, South Indian",3.0,450.0,Kothrud,,Pune
Nihal's Insta Food,Restaurant,"North Indian, Chinese, Fast Food",3.3,450.0,Sus,,Pune
Food House,Restaurant,"Maharashtrian, North Indian",3.0,400.0,Hadapsar,,Pune
Sai Sandwich,Restaurant,"Sandwich, Pizza",2.9,300.0,Magarpatta,,Pune
The Paratha House,Restaurant,North Indian,2.8,250.0,Aundh,,Pune
Cafe Eatitude,Restaurant,"Cafe, Ice Cream",3.5,200.0,Balewadi,,Pune
Real Spice,Restaurant,Fast Food,3.1,400.0,Baner,,Pune
M² - The Food & Drinks Lab,Restaurant,"North Indian, Mexican, Sandwich, Salad",2.6,600.0,NIBM Road,,Pune
Snacks Point,Restaurant,South Indian,3.4,250.0,Pimpri,,Pune
Fried Fingers,Restaurant,Fast Food,3.4,400.0,Nigdi,,Pune
Akash Pavbhaji,Restaurant,"Fast Food, Street Food, North Indian",3.3,200.0,Kothrud,,Pune
Red Chilly Family Chinese,Restaurant,Chinese,2.9,300.0,Wagholi,,Pune
Unique Adda's Roll House,Restaurant,"Rolls, Fast Food",3.2,500.0,Sinhgad Road,,Pune
Kebabsterr,Restaurant,"Chinese, Kebab, North Indian",3.2,300.0,Pimple Saudagar,,Pune
Tibb's Frankie,Restaurant,"Rolls, Fast Food",3.1,400.0,Viman Nagar,,Pune
Red Chillies Chinese,Restaurant,Chinese,3.2,400.0,Bhugaon,,Pune
Kiran Restaurant,Restaurant,Chinese,3.4,300.0,Pimple Gurav,,Pune
Bharat Cafe,Restaurant,"Fast Food, Biryani",3.1,250.0,Dehu Road,,Pune
Dimitri Cafe and Delivery,Restaurant,Fast Food,3.3,500.0,Hinjawadi,,Pune
Silver Palm's Family Restaurant,Restaurant,"North Indian, Chinese",2.9,700.0,Chinchwad,,Pune
Madhura Bhel,Restaurant,"Street Food, South Indian",2.9,150.0,Pimple Gurav,,Pune
S Kumar Wadewale,Restaurant,Street Food,2.7,100.0,Kondhwa,,Pune
Ameya Snacks Centre,Restaurant,Fast Food,3.3,400.0,Wakad,,Pune
Hotel Samadhan,Restaurant,North Indian,3.1,300.0,Kothrud,,Pune
Khao Piyo Khisko,Restaurant,"Desserts, Street Food, Sandwich, Beverages",3.4,250.0,NIBM Road,,Pune
SpringSprouts,Restaurant,"Salad, Sandwich",3.2,160.0,Karve Nagar,,Pune
Hi Lemon,Restaurant,Cafe,3.4,500.0,Karve Nagar,,Pune
Rudra Cold Coffee,Restaurant,"Beverages, Fast Food",3.3,200.0,Sinhgad Road,,Pune
Crush Cafe & Snacks,Restaurant,"Chinese, Fast Food, Street Food",2.9,350.0,Dhanori,,Pune
Harini Tiffin Center - HTC,Restaurant,"Fast Food, Chinese, Maharashtrian, North Indian",3.0,350.0,Bavdhan,,Pune
Meals Junction,Restaurant,"North Indian, Chinese",2.9,450.0,Balewadi,,Pune
Vendant Restaurant - Jai Malhar Macchi House,Restaurant,"North Indian, Seafood, Malwani",3.0,600.0,Hadapsar,,Pune
Cafe Shahi,Restaurant,Fast Food,3.0,300.0,NIBM Road,,Pune
Shree Radhakrushna Pure Veg Family Restaurant,Restaurant,"North Indian, Chinese",2.9,300.0,Pimple Saudagar,,Pune
Baker Street,Restaurant,"Bakery, Desserts",3.2,400.0,Lohegaon,,Pune
Shiv Snacks Center,Restaurant,"Fast Food, Street Food",3.0,300.0,Karve Nagar,,Pune
The Chinese House,Restaurant,Chinese,2.8,400.0,Wakad,,Pune
Nonna's Patisserie,Restaurant,Desserts,3.3,400.0,Viman Nagar,,Pune
Daawat Fun Food,Restaurant,North Indian,2.8,300.0,Shivaji Nagar,,Pune
Shikaji's Dum Biryani House,Restaurant,"Biryani, North Indian",3.4,300.0,Karve Nagar,,Pune
Vijayraj Restaurant & Bar,Restaurant,"North Indian, Chinese",3.1,850.0,Budhwar Peth,,Pune
Delight Point,Restaurant,"Lebanese, Fast Food, Rolls",3.1,400.0,Pimple Saudagar,,Pune
Maharaja Bhel,Restaurant,Street Food,3.4,100.0,Chinchwad,,Pune
The Royal Cafe & Fast Food (Arizona),Restaurant,"Fast Food, Beverages",3.0,250.0,Shivaji Nagar,,Pune
Amrita Chaat House,Restaurant,Street Food,3.0,150.0,Wanowrie,,Pune
Urban Eats,Restaurant,"North Indian, Chinese, Biryani, Sandwich",3.5,600.0,Pimple Saudagar,,Pune
Om Paratha House,Restaurant,North Indian,3.1,150.0,Pimpri,,Pune
Foodiction,Restaurant,Fast Food,2.9,400.0,Chinchwad,,Pune
Vikas Paratha Center,Restaurant,North Indian,3.2,250.0,Wakad,,Pune
Hotel Nisarg Family Restaurant,Restaurant,North Indian,2.9,750.0,Wagholi,,Pune
Kabab-E-Que,Restaurant,"Chinese, North Indian",3.2,400.0,Wakad,,Pune
Liberty Pizza 'n' Cafe,Restaurant,"Pizza, Fast Food",3.1,300.0,Chinchwad,,Pune
Delight Restaurant & Cafe,Restaurant,"North Indian, Chinese, Maharashtrian",3.3,350.0,Ravet,,Pune
Flavours,Restaurant,"Fast Food, North Indian, Chinese, Kebab, Biryani",3.6,400.0,Pimple Saudagar,,Pune
3.14 Hand Rolled Traditional Pizzas,Restaurant,Pizza,3.0,600.0,Baner,,Pune
Yummy Bites,Restaurant,"North Indian, Street Food",3.2,300.0,Hadapsar,,Pune
Royal Maratha,Restaurant,"North Indian, Chinese, Maharashtrian",3.0,600.0,Wadgaon Sheri,,Pune
Punjabi Spice,Restaurant,North Indian,3.6,800.0,Kalyani Nagar,,Pune
Bia Blasta,Restaurant,"Fast Food, Italian",3.2,450.0,Sinhgad Road,,Pune
Rohan's Kitchen,Restaurant,"North Indian, Chinese",3.2,600.0,Wakad,,Pune
Yummmy Kathi Rolls,Restaurant,"Rolls, Fast Food",3.3,350.0,Mundhwa,,Pune
Me So Hungry,Restaurant,"Fast Food, Sandwich, Pizza",3.2,200.0,Pimple Saudagar,,Pune
Cafe Central,Restaurant,"North Indian, Chinese",3.1,550.0,Sinhgad Road,,Pune
Punjab Da Swag,Restaurant,North Indian,2.8,750.0,Bavdhan,,Pune
Aswad Katta,Restaurant,Maharashtrian,3.2,300.0,Hinjawadi,,Pune
Chaila Tandoor Chai,Restaurant,Fast Food,3.2,300.0,Bavdhan,,Pune
Spicy Green,Restaurant,"Maharashtrian, North Indian, Chinese",3.4,450.0,Kharadi,,Pune
The Hungry Gypsies,Restaurant,Street Food,3.6,250.0,Pimple Saudagar,,Pune
SR Food Court,Restaurant,Street Food,3.2,400.0,Wakad,,Pune
Caraway- The Food Truck,Restaurant,Fast Food,3.1,200.0,Pimpri Chinchwad Area,,Pune
Kolhapuri Misal,Restaurant,"Maharashtrian, Chinese, Fast Food",3.0,300.0,Sinhgad Road,,Pune
It's 'SAV'age 59,Restaurant,"Cafe, Fast Food",3.4,450.0,Kothrud,,Pune
Savlahari Pot Ice Cream & Mastani,Restaurant,"Ice Cream, Desserts",2.9,250.0,Mundhwa,,Pune
Gulshan-E-Iran,Restaurant,"Chinese, North Indian",3.3,600.0,Rasta Peth,,Pune
United Pizza Nation,Restaurant,"Fast Food, Pizza, Salad, Burger",3.3,300.0,Sinhgad Road,,Pune
Vira Nagpur Saoji,Restaurant,"Maharashtrian, North Indian",3.2,350.0,Pimple Gurav,,Pune
Cakestries,Restaurant,"Bakery, Desserts",3.0,200.0,Mundhwa,,Pune
Lavangi Veg & Non-Veg,Restaurant,"Chinese, North Indian, Maharashtrian",3.1,350.0,Sinhgad Road,,Pune
Foodnation Chinese And Fast Food,Restaurant,Chinese,3.3,300.0,Chinchwad,,Pune
Sangeeta Dabeli,Restaurant,Fast Food,3.4,150.0,Pimple Gurav,,Pune
Dhaneshwar Hotel,Restaurant,"North Indian, Chinese",3.3,450.0,Pimpri,,Pune
Hotel Reddy's,Restaurant,North Indian,2.8,300.0,Wadgaon Sheri,,Pune
Annapurna South & Chaat,Restaurant,"South Indian, Street Food",3.1,250.0,Baner,,Pune
Ansari Fast Foods,Restaurant,"Street Food, Fast Food",3.1,250.0,Kothrud,,Pune
Girija Family Restaurant,Restaurant,"North Indian, Chinese",3.1,500.0,Akurdi,,Pune
The Madras Cafe,Restaurant,South Indian,3.1,150.0,B.T. Kawade Road,,Pune
Hotel Dajiba,Restaurant,"Maharashtrian, North Indian, Chinese",3.3,600.0,Hinjawadi,,Pune
Hotel Hariom,Restaurant,North Indian,3.2,400.0,Sinhgad Road,,Pune
Mauli Dosa Center,Restaurant,South Indian,3.2,150.0,Bibvewadi,,Pune
Cafe Oreo,Restaurant,"Fast Food, Beverages",3.2,450.0,Chinchwad,,Pune
The Sizzling Fast Food,Restaurant,Momos,3.4,150.0,Pimple Gurav,,Pune
Paradise Kabab & Biryani,Restaurant,North Indian,3.0,500.0,Pimple Saudagar,,Pune
Chakh Le India,Restaurant,"Momos, Fast Food",3.0,200.0,Hinjawadi,,Pune
Hotel Gangasagar,Restaurant,"Maharashtrian, North Indian",3.3,500.0,Balewadi,,Pune
The Kitchen,Restaurant,"Fast Food, North Indian",3.1,250.0,Kothrud,,Pune
J1 FAMILY RESTAURANT,Restaurant,"North Indian, Chinese",3.3,500.0,Narhe,,Pune
Cafe 1076,Restaurant,South Indian,3.3,400.0,Wagholi,,Pune
Tummy Ticklers,Restaurant,"Continental, Indian, Beverages",3.5,500.0,Balewadi,,Pune
Malvan,Restaurant,"Seafood, North Indian, Chinese, Mughlai",3.3,550.0,Pimple Saudagar,,Pune
Mozzarr's Pizzaworks,Restaurant,"Italian, Pizza",3.3,700.0,Hinjawadi,,Pune
Shree Krushna Pizza,Restaurant,"Fast Food, Street Food",3.0,250.0,Budhwar Peth,,Pune
The Chef's Art,Restaurant,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.0,300.0,Old Mumbai-Pune Highway,,Pune
Amber Family Restaurant,Restaurant,"Chinese, North Indian",3.1,600.0,Kondhwa,,Pune
Abhiruchi Family Restaurant,Restaurant,"Chinese, Fast Food, North Indian",3.1,400.0,Lohegaon,,Pune
Maharashtrian Darbar,Restaurant,Maharashtrian,2.8,200.0,Hadapsar,,Pune
Friend's Kitchen,Restaurant,Chinese,2.8,350.0,Dhanori,,Pune
Crush Cafe,Restaurant,Fast Food,3.0,200.0,Hadapsar,,Pune
Hotel Anushka,Restaurant,North Indian,3.0,400.0,Hadapsar,,Pune
Cafe 2.0,Restaurant,"Pizza, American",3.4,300.0,Sinhgad Road,,Pune
Lazeez Fast Food,Restaurant,"Chinese, North Indian",3.2,400.0,Kondhwa,,Pune
Shree Upahar Gruha,Restaurant,Street Food,3.4,150.0,Shaniwar Peth,,Pune
Cafe Greedy Box,Restaurant,Fast Food,3.2,350.0,Yerawada,,Pune
The Li'l Eatery,Restaurant,"Beverages, Sandwich",3.2,300.0,Viman Nagar,,Pune
Thirst The Fluid Stall,Restaurant,Beverages,3.4,200.0,JM Road,,Pune
3RN Cafe,Restaurant,"Ice Cream, Desserts",3.1,200.0,Pimple Gurav,,Pune
The Food Dude,Restaurant,Fast Food,3.5,300.0,Wanowrie,,Pune
Chandani Gate,Restaurant,"North Indian, Maharashtrian",3.0,800.0,Warje,,Pune
Rihana's Biryani,Restaurant,Biryani,2.9,400.0,Balewadi,,Pune
Pallavi Snacks Center,Restaurant,"South Indian, Street Food",3.2,200.0,Kothrud,,Pune
Royal Taste,Restaurant,"Fast Food, Maharashtrian",3.0,350.0,Karve Nagar,,Pune
Dharwad Cafe,Restaurant,"Fast Food, South Indian",3.1,200.0,Deccan Gymkhana,,Pune
New Thaat Baat,Restaurant,"Chinese, North Indian, South Indian, Fast Food",3.3,650.0,Shivane,,Pune
Chavan Chinese and Biryani House,Restaurant,"Chinese, North Indian, Mughlai",2.9,400.0,Budhwar Peth,,Pune
Tavang,Restaurant,Maharashtrian,3.0,350.0,Bavdhan,,Pune
China Chufang,Restaurant,"Chinese, Seafood",2.8,450.0,NIBM Road,,Pune
Mirchi Non Veg,Restaurant,"North Indian, Chinese, Seafood, Kebab",3.0,550.0,Sinhgad Road,,Pune
Cafe Canephora,Restaurant,"Fast Food, Beverages",3.5,400.0,Karve Nagar,,Pune
Hotel Marathi Bana,Restaurant,"Maharashtrian, North Indian",3.3,450.0,Bibvewadi,,Pune
Cafe Indian Foodies,Restaurant,"Cafe, North Indian",3.5,250.0,NIBM Road,,Pune
Puneri Khana,Restaurant,"Chinese, North Indian",3.4,400.0,Baner,,Pune
Madira,Restaurant,"North Indian, Chinese, Continental, Italian, Beverages",3.2,1200.0,Lonavala,,Pune
SIP CHAT CAFE,Restaurant,"Fast Food, Beverages",2.9,200.0,Ravet,,Pune
Grills & Gravys,Restaurant,"North Indian, Chinese",3.4,350.0,Hadapsar,,Pune
Hotel Yashraj,Restaurant,"North Indian, Chinese, Seafood",3.0,600.0,Sinhgad Road,,Pune
Omc's Biryani House,Restaurant,Biryani,3.0,350.0,Balewadi,,Pune
The Grub Hub,Restaurant,"Cafe, North Indian",3.4,400.0,Baner,,Pune
Hotel Aamantran,Restaurant,Maharashtrian,3.1,600.0,Wadgaon Sheri,,Pune
Pick-A-Deli,Restaurant,"Cafe, Fast Food, North Indian, Chinese",3.0,500.0,Kothrud,,Pune
Gunjan’s Bakehouse,Restaurant,"Bakery, Desserts",3.0,300.0,Kondhwa,,Pune
Cafe Brotaz,Restaurant,"Fast Food, Ice Cream",3.4,200.0,Pimple Gurav,,Pune
Madras Snacks Center,Restaurant,"South Indian, Maharashtrian, North Indian",3.2,150.0,Wadgaon Sheri,,Pune
Atharva Restaurant & Bar,Restaurant,"Chinese, North Indian, Mughlai, Biryani",3.0,600.0,Chakan,,Pune
Taste Affairs,Restaurant,"Fast Food, Pizza, Sandwich, Desserts",3.3,500.0,Koregaon Park,,Pune
Annachi Misal,Restaurant,Street Food,3.3,200.0,Hinjawadi,,Pune
Pi Frankie Station,Restaurant,Fast Food,3.0,200.0,KP and Kalyani,,Pune
Kadhai Muttan Bhakari Biriyani,Restaurant,"Cafe, Fast Food, Kebab, Chinese, Rolls, North Indian",3.2,500.0,Katraj,,Pune
Abhiruchi Veg Non-Veg Restaurant,Restaurant,"South Indian, North Indian, Chinese",2.9,400.0,Lohegaon,,Pune
Hotel Malhar,Restaurant,Chinese,3.0,250.0,Hadapsar,,Pune
SV'S PARATHA HOUSE,Restaurant,North Indian,3.4,200.0,Hadapsar,,Pune
Dum Misal House,Restaurant,Street Food,3.1,200.0,Dange Chowk,,Pune
Punjabi Zaika,Restaurant,"North Indian, Chinese",2.9,500.0,Pune-Solapur Road,,Pune
@99,Restaurant,"North Indian, Chinese",2.8,200.0,Wadgaon Sheri,,Pune
Ramble,Restaurant,North Indian,3.4,400.0,Viman Nagar,,Pune
The Happy Hippy Cafe,Restaurant,"Cafe, Desserts",2.8,500.0,B.T. Kawade Road,,Pune
Gavathi Mejwani,Restaurant,Maharashtrian,3.1,450.0,Pimple Gurav,,Pune
Sagar Foodies Adda,Restaurant,"Chinese, North Indian, Malwani",3.1,500.0,Kothrud,,Pune
AM's Golden Shawarma,Restaurant,Lebanese,3.2,250.0,Bavdhan,,Pune
Mint,Restaurant,"Biryani, Chinese, Continental, North Indian, Tea, Desserts",3.3,500.0,Kharadi,,Pune
Hotel Wada,Restaurant,"Maharashtrian, Malwani",2.8,400.0,Aundh,,Pune
Waffle King,Restaurant,Desserts,3.2,350.0,Wagholi,,Pune
CornVille,Restaurant,Street Food,3.4,250.0,Sinhgad Road,,Pune
Raj Family Restaurant,Restaurant,"Chinese, North Indian, Biryani",3.1,500.0,Shivane,,Pune
Gossiip Kitchen,Restaurant,"Fast Food, North Indian",2.9,300.0,Pimpri,,Pune
Gelato Italiano,Restaurant,Ice Cream,3.2,100.0,Dhole Patil Road,,Pune
Hotel Mahalaxmi,Restaurant,"Maharashtrian, North Indian",3.1,350.0,Pune-Solapur Road,,Pune
Nitin's Mummy's Homely Food,Restaurant,Maharashtrian,3.8,600.0,Lonavala,,Pune
Shanghai Cuisine,Restaurant,Chinese,3.1,500.0,Viman Nagar,,Pune
Jaganath Bhel,Restaurant,Street Food,3.4,200.0,Shivapur,,Pune
Hotel Dwarka,Restaurant,"Chinese, North Indian",2.9,300.0,Akurdi,,Pune
Desi V Desi,Restaurant,"North Indian, Chinese, Fast Food",3.8,500.0,Shivapur,,Pune
Noble Bake Food,Restaurant,Bakery,3.3,150.0,Wanowrie,,Pune
Shetty's Cafe,Restaurant,"Biryani, Iranian",2.9,400.0,Dhole Patil Road,,Pune
Tavern,Restaurant,"Continental, Chinese, Fast Food",3.1,1000.0,Koregaon Park,,Pune
Cake Blush,Restaurant,"Bakery, Desserts",3.0,150.0,Bavdhan,,Pune
Haridra Biryani House,Restaurant,"North Indian, Biryani",3.5,550.0,Pimpri,,Pune
R Chinese Treat,Restaurant,Chinese,3.1,450.0,Sinhgad Road,,Pune
On Air,Restaurant,"Cafe, Fast Food",3.5,600.0,Lavasa,,Pune
Pravin Khanawal,Restaurant,Maharashtrian,3.0,200.0,Dange Chowk,,Pune
Biso - Citrus Hotel,Restaurant,"Continental, Fast Food, North Indian",3.2,800.0,Lonavala,,Pune
Ice N Spice,Restaurant,"Fast Food, Desserts",3.4,350.0,Pimpri,,Pune
RS Assal Marathi Restaurant,Restaurant,"Chinese, North Indian, Maharashtrian, Seafood",2.7,600.0,Vishrantwadi,,Pune
Biryani Ki Dukan,Restaurant,"Biryani, Mughlai",3.5,250.0,Kharadi,,Pune
Casablanca Lounge Bar,Restaurant,"North Indian, Chinese, Continental, European",3.7,1300.0,Pimple Gurav,,Pune
AN Chinese & Fast Food,Restaurant,"Chinese, Fast Food",2.9,200.0,Magarpatta,,Pune
New Vijay Bakery,Restaurant,Bakery,3.4,200.0,Rasta Peth,,Pune
Food Court,Restaurant,"Chinese, Fast Food",3.4,300.0,Pimple Nilakh,,Pune
Dolphin Chinese Fast Food,Restaurant,Chinese,3.0,300.0,Pimple Gurav,,Pune
Cafe 96 Garage,Restaurant,"Fast Food, Chinese",3.3,200.0,Law College Road,,Pune
Hotel Maharaja,Restaurant,"North Indian, Chinese, Kebab",2.8,500.0,Hinjawadi,,Pune
Samudra Manthan,Restaurant,"Seafood, North Indian",3.5,600.0,Lonavala,,Pune
Mr & Mrs Panipuri,Restaurant,Street Food,3.1,150.0,Bibvewadi,,Pune
Upper Deck BY YOLO,Restaurant,"Continental, Finger Food",2.8,1200.0,Pimple Saudagar,,Pune
Eatalio’s,Restaurant,"Italian, Fast Food",3.5,650.0,Bibvewadi,,Pune
che-GUEVARA CHEESE,Restaurant,"Fast Food, Iranian",3.5,300.0,Viman Nagar,,Pune
Kabab Mein Haddi,Restaurant,"North Indian, Chinese, Thai",2.4,900.0,Wakad,,Pune
Davangiri Hotel,Restaurant,South Indian,3.0,200.0,Pimple Saudagar,,Pune
Cakes World,Restaurant,Bakery,3.0,250.0,Pimpri,,Pune
Cafe Good Times,Restaurant,"Cafe, Fast Food, Beverages, Street Food",3.4,400.0,Aundh,,Pune
Puneri Vada,Restaurant,"South Indian, North Indian, Street Food",2.8,400.0,Hinjawadi,,Pune
Chopatiwala,Restaurant,Fast Food,3.4,350.0,Wadgaon Sheri,,Pune
Rajmachi Veg Nonveg Restaurant,Restaurant,"Maharashtrian, North Indian",2.9,500.0,Pimple Gurav,,Pune
Shami's Kebab,Restaurant,"Biryani, Chinese, Street Food",3.4,400.0,Bavdhan,,Pune
Eggsclusively Yours,Restaurant,"Street Food, Rolls",3.3,250.0,KP and Kalyani,,Pune
RFIR,Restaurant,Ice Cream,3.5,200.0,Vishrantwadi,,Pune
Revival Restaurant,Restaurant,North Indian,3.6,800.0,Lavasa,,Pune
Frozen Gelato Creamery,Restaurant,"Desserts, Ice Cream",3.2,200.0,Salunkhe Vihar Road,,Pune
Chetan Dhaba,Restaurant,"Chinese, North Indian, Biryani",2.9,500.0,Chakan,,Pune
Oye! Parantha,Restaurant,North Indian,3.3,300.0,Wadgaon Sheri,,Pune
Puneri Tadka,Restaurant,"Chinese, North Indian",2.9,600.0,Dhanori,,Pune
Hotel Kavya,Restaurant,"North Indian, Chinese",2.8,500.0,Sinhgad Road,,Pune
Panchavati Gaurav,Restaurant,"Rajasthani, Gujarati",3.4,700.0,Lonavala,,Pune
Nawab's Kebabs,Restaurant,"Awadhi, Mughlai",2.7,200.0,Pimpri Chinchwad Area,,Pune
Smoke nd Spice,Restaurant,"North Indian, Chinese",3.3,300.0,Bibvewadi,,Pune
Taste in Town,Restaurant,"Fast Food, Desserts",2.8,450.0,KP and Kalyani,,Pune
Golden Dum Biryani & Tandoori,Restaurant,"Biryani, Chinese",2.9,400.0,Sinhgad Road,,Pune
Hotel Devasa,Restaurant,"North Indian, Chinese",3.2,400.0,Akurdi,,Pune
Maroosh,Restaurant,Lebanese,3.5,400.0,Balewadi,,Pune
Sweekar Snacks Bar,Restaurant,Fast Food,3.1,250.0,Kothrud,,Pune
Hotel Maharaja,Restaurant,North Indian,3.0,300.0,Kondhwa,,Pune
Bliss Garden & Bakery Cafe,Restaurant,"Cafe, Bakery",2.8,500.0,Salunkhe Vihar Road,,Pune
Mircho Misal,Restaurant,"Street Food, Fast Food",3.5,150.0,Sinhgad Road,,Pune
Hotel Sagar,Restaurant,Street Food,2.9,100.0,Sinhgad Road,,Pune
Cinnamon Restaurant - Park Central,Restaurant,"North Indian, Chinese, Continental",3.3,1000.0,Koregaon Park,,Pune
SSD Box Of Delights,Restaurant,Bakery,3.8,300.0,Kondhwa,,Pune
Deep Roll & Bhurji Centre,Restaurant,"Rolls, Street Food",3.2,200.0,Sinhgad Road,,Pune
Balaji Fast Food,Restaurant,Fast Food,3.2,150.0,Dhankawadi,,Pune
Shree Ram Kitchen,Restaurant,"South Indian, North Indian, Street Food",3.1,400.0,Parvati,,Pune
Creamz Master,Restaurant,"Fast Food, Beverages",3.5,300.0,Sadashiv Peth,,Pune
Tummy Toll,Restaurant,Lebanese,3.5,250.0,Wakad,,Pune
Pune Coffee & Burger,Restaurant,"Fast Food, Beverages",3.1,200.0,Sinhgad Road,,Pune
SG's Take Away & Catering,Restaurant,"Chinese, North Indian, Biryani",3.1,400.0,Vishrantwadi,,Pune
Hotel Mehfil,Restaurant,"Chinese, North Indian",3.0,600.0,Pune-Solapur Road,,Pune
Welcome Fast Food,Restaurant,"Chinese, North Indian, Street Food",3.0,300.0,Aundh,,Pune
Mejewani Veg,Restaurant,"North Indian, South Indian",3.4,600.0,Khadakwasla,,Pune
Coffee Locale,Restaurant,Cafe,3.2,400.0,NIBM Road,,Pune
Om Shakti Dosa Center,Restaurant,South Indian,3.5,150.0,Rasta Peth,,Pune
Nandini's Pure Veg,Restaurant,"North Indian, South Indian",3.1,200.0,Parvati,,Pune
The Hungry Boss,Restaurant,North Indian,3.3,250.0,Yerawada,,Pune
Yaari's Coffee,Restaurant,"Chinese, Fast Food",3.0,300.0,Pimple Nilakh,,Pune
Mumbai Tadka Restaurant & Bar,Restaurant,"North Indian, South Indian",3.2,1000.0,Chinchwad,,Pune
A1 Ice Cream Parlour,Restaurant,"Desserts, Street Food",3.2,250.0,Khadki,,Pune
Al-Shawarms,Restaurant,Lebanese,2.9,250.0,Kharadi,,Pune
Zumo Bar,Restaurant,Beverages,2.9,100.0,Kharadi,,Pune
Cafe Azaad-e-Hind,Restaurant,Cafe,3.6,150.0,Kondhwa,,Pune
Flavours by Gurpreet,Restaurant,Bakery,3.9,600.0,Aundh,,Pune
Cafe Crimica,Restaurant,"Beverages, Fast Food",3.5,150.0,Pimpri,,Pune
Awesome Snacks Center,Restaurant,Fast Food,3.1,150.0,Balewadi,,Pune
Shree Sai Restaurant,Restaurant,"North Indian, Chinese",2.9,350.0,Kharadi,,Pune
Chocolate Lovers,Restaurant,"Fast Food, Desserts",3.4,400.0,Pimple Gurav,,Pune
Nutan Chinese Fast Food,Restaurant,"Chinese, Burger, Pizza, Sandwich",3.3,400.0,Hinjawadi,,Pune
Arya Resto & Bar,Restaurant,"North Indian, Chinese",3.0,900.0,NIBM Road,,Pune
Western Bakery,Restaurant,Bakery,3.1,300.0,Kondhwa,,Pune
Southern Kitchen,Restaurant,"South Indian, North Indian, Chinese",3.3,350.0,Pimpri,,Pune
Hotel Sayali,Restaurant,North Indian,3.2,250.0,Sadashiv Peth,,Pune
JD Kitchen,Restaurant,North Indian,3.2,500.0,Aundh,,Pune
Punekar's Shree Balaji,Restaurant,South Indian,3.2,250.0,Kharadi,,Pune
The Dark Katta,Restaurant,"Fast Food, Beverages",3.3,400.0,Wakad,,Pune
K K Biryani Adda,Restaurant,"North Indian, Chinese",2.9,350.0,Hinjawadi,,Pune
Prasann Snacks,Restaurant,"South Indian, North Indian",3.4,200.0,Kothrud,,Pune
Ice Bergs,Restaurant,"Fast Food, Ice Cream",3.7,150.0,Model Colony,,Pune
The Tea Place,Restaurant,"Cafe, Fast Food, Beverages",3.7,500.0,Viman Nagar,,Pune
Deo's Cafe,Restaurant,Fast Food,3.0,150.0,Sinhgad Road,,Pune
Sahyadri,Restaurant,"North Indian, Maharashtrian",2.9,500.0,Hadapsar,,Pune
Shivanjali,Restaurant,"Beverages, Desserts",3.0,100.0,Hadapsar,,Pune
Amu Fresh Cool Cafe,Restaurant,Cafe,3.2,200.0,Kondhwa,,Pune
Bhawani Sweets,Restaurant,"Mithai, Street Food",2.9,150.0,Mundhwa,,Pune
